総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
1480,245,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,142/190,ポケモン,無,チラーミィ,ミラー仕様,,
1481,246,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,143/190,ポケモン,無,チラチーノ,ミラー仕様,,
1482,247,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,144/190,ポケモン,無,コアルヒー,ミラー仕様,,
1483,248,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,145/190,ポケモン,無,スワンナ,ミラー仕様,,
1484,249,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,146/190,ポケモン,無,ホルビー,ミラー仕様,,
1485,250,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,148/190,ポケモン,無,ホシガリス,ミラー仕様,,
1486,251,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,149/190,ポケモン,無,ヨクバリス,ミラー仕様,,
1487,252,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,150/190,ポケモン,無,ココガラ,ミラー仕様,,
1488,253,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,151/190,ポケモン,無,アオガラス,ミラー仕様,,
1489,254,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,152/190,ポケモン,無,ウールー,ミラー仕様,,
1490,255,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,153/190,ポケモン,無,バイウールー,ミラー仕様,,
1491,256,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,156/190,トレーナーズ,グッズ,エール団のおうえんタオル,ミラー仕様,,
1492,257,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,157/190,トレーナーズ,グッズ,回収ネット,ミラー仕様,,
1493,258,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,158/190,トレーナーズ,グッズ,クイックボール,ミラー仕様,,
1494,259,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,159/190,トレーナーズ,グッズ,しんかのおこう,ミラー仕様,,
1495,260,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,160/190,トレーナーズ,グッズ,すごいきずぐすり,ミラー仕様,,
1496,261,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,161/190,トレーナーズ,グッズ,ターボパッチ,ミラー仕様,,
1497,262,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,162/190,トレーナーズ,グッズ,たっぷりバケツ,ミラー仕様,,
1498,263,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,163/190,トレーナーズ,グッズ,ツールスクラッパー,ミラー仕様,,
1499,264,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,164/190,トレーナーズ,グッズ,ふつうのつりざお,ミラー仕様,,
1500,265,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,165/190,トレーナーズ,グッズ,めずらしい化石,ミラー仕様,,
1501,266,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,166/190,トレーナーズ,グッズ,メタルソーサー,ミラー仕様,,
1502,267,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,167/190,トレーナーズ,グッズ,ロトムじてんしゃ,ミラー仕様,,
1503,268,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,168/190,トレーナーズ,ポケモンのどうぐ,くちたけん,ミラー仕様,,
1504,269,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,169/190,トレーナーズ,ポケモンのどうぐ,くちたたて,ミラー仕様,,
1505,270,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,170/190,トレーナーズ,ポケモンのどうぐ,タフネスマント,ミラー仕様,,
1506,271,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,171/190,トレーナーズ,ポケモンのどうぐ,ふうせん,ミラー仕様,,
1507,272,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,172/190,トレーナーズ,サポート,とりつかい,ミラー仕様,,
1508,273,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,173/190,トレーナーズ,サポート,ネズ,ミラー仕様,,
1509,274,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,175/190,トレーナーズ,サポート,ボールガイ,ミラー仕様,,
1510,275,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,178/190,トレーナーズ,サポート,ローズ,ミラー仕様,,
1511,276,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,179/190,トレーナーズ,スタジアム,ターフスタジアム,ミラー仕様,,
1512,277,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,180/190,トレーナーズ,スタジアム,トレーニングコート,ミラー仕様,,
1513,278,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,181/190,トレーナーズ,スタジアム,ルミナスメイズの森,ミラー仕様,,
1514,279,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,182/190,トレーナーズ,スタジアム,ローズタワー,ミラー仕様,,
1515,280,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,183/190,エネルギー,特殊,ヒート炎エネルギー,ミラー仕様,,
1516,281,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,184/190,エネルギー,特殊,スピード雷エネルギー,ミラー仕様,,
1517,282,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,185/190,エネルギー,特殊,ホラー超エネルギー,ミラー仕様,,
1518,283,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,186/190,エネルギー,特殊,ハイド悪エネルギー,ミラー仕様,,
1519,284,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,187/190,エネルギー,特殊,オーロラエネルギー,ミラー仕様,,
1520,285,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,188/190,エネルギー,特殊,キャプチャーエネルギー,ミラー仕様,,
1521,286,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,189/190,エネルギー,特殊,ツインエネルギー,ミラー仕様,,
1522,287,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,190/190,エネルギー,特殊,パワフル無色エネルギー,ミラー仕様,,
1523,288,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,009/190,ポケモン,草,ゴリランダーV,RR,,
1524,289,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,010/190,ポケモン,草,ゴリランダーVMAX,RRR,,
1525,290,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,016/190,ポケモン,草,ワタシラガV,RR,,
1526,291,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,027/190,ポケモン,炎,マルヤクデV,RR,,
1527,292,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,028/190,ポケモン,炎,マルヤクデVMAX,RRR,,
1528,293,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,031/190,ポケモン,水,ラプラスV,RR,,
1529,294,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,032/190,ポケモン,水,ラプラスVMAX,RRR,,
1530,295,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,056/190,ポケモン,雷,パルスワンV,RR,,
1531,296,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,059/190,ポケモン,雷,ストリンダーV,RR,,
1532,297,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,060/190,ポケモン,雷,ストリンダーVMAX,RRR,,
1533,298,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,084/190,ポケモン,超,イエッサンV,RR,,
1534,299,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,088/190,ポケモン,超,ドラパルトV,RR,,
1535,300,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,089/190,ポケモン,超,ドラパルトVMAX,RRR,,
1536,301,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,102/190,ポケモン,闘,タイレーツV,RR,,
1537,302,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,108/190,ポケモン,悪,クロバットV,RR,,
1538,303,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,109/190,ポケモン,悪,クロバットVMAX,RRR,,
1539,304,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,124/190,ポケモン,悪,ムゲンダイナV,RR,,
1540,305,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,125/190,ポケモン,悪,ムゲンダイナVMAX,RRR,,
1541,306,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,137/190,ポケモン,鋼,ザシアンV,RR,,
1542,307,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,139/190,ポケモン,鋼,ザマゼンタV,RR,,
1543,308,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,140/190,ポケモン,無,メタモンV,RR,,
1544,309,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,141/190,ポケモン,無,メタモンVMAX,RRR,,
1545,310,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,154/190,ポケモン,無,バイウールーV,RR,,
1546,311,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,155/190,ポケモン,無,ウッウV,RR,,
1547,312,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,021/190,ポケモン,炎,レシラム,A,,
1548,313,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,036/190,ポケモン,水,カイオーガ,A,,
1549,314,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,117/190,ポケモン,悪,イベルタル,A,,
1550,315,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,191/190,トレーナーズ,サポート,ウカッツ,SR,,
1551,316,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,192/190,トレーナーズ,サポート,ジムトレーナー,SR,,
1552,317,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,193/190,トレーナーズ,サポート,とりつかい,SR,,
1553,318,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,194/190,トレーナーズ,サポート,ネズ,SR,,
1554,319,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,195/190,トレーナーズ,サポート,フウロ,SR,,
1555,320,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,196/190,トレーナーズ,サポート,ボールガイ,SR,,
1556,321,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,197/190,トレーナーズ,サポート,ポケモンごっこ,SR,,
1557,322,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,198/190,トレーナーズ,サポート,マリィ,SR,,
1558,323,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,199/190,トレーナーズ,サポート,ローズ,SR,,
1559,324,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,200/190,ポケモン,草,モクロー,S,,
1560,325,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,201/190,ポケモン,草,フクスロー,S,,
1561,326,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,202/190,ポケモン,草,ジュナイパー,S,,
1562,327,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,203/190,ポケモン,草,サルノリ,S,,
1563,328,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,204/190,ポケモン,草,バチンキー,S,,
1564,329,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,205/190,ポケモン,草,ゴリランダー,S,,
1565,330,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,206/190,ポケモン,草,サッチムシ,S,,
1566,331,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,207/190,ポケモン,草,レドームシ,S,,
1567,332,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,208/190,ポケモン,草,イオルブ,S,,
1568,333,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,209/190,ポケモン,草,ヒメンカ,S,,
1569,334,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,210/190,ポケモン,草,ワタシラガ,S,,
1570,335,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,211/190,ポケモン,草,カジッチュ,S,,
1571,336,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,212/190,ポケモン,草,アップリュー,S,,
1572,337,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,213/190,ポケモン,草,タルップル,S,,
1573,338,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,214/190,ポケモン,炎,ヒバニー,S,,
1574,339,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,215/190,ポケモン,炎,ラビフット,S,,
1575,340,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,216/190,ポケモン,炎,エースバーン,S,,
1576,341,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,217/190,ポケモン,炎,ヤクデ,S,,
1577,342,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,218/190,ポケモン,炎,マルヤクデ,S,,
1578,343,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,219/190,ポケモン,水,ガラルバリヤード,S,,
1579,344,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,220/190,ポケモン,水,ガラルバリコオル,S,,
1580,345,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,221/190,ポケモン,水,スイクン,S,,
1581,346,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,222/190,ポケモン,水,ガラルダルマッカ,S,,
1582,347,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,223/190,ポケモン,水,ガラルヒヒダルマ,S,,
1583,348,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,224/190,ポケモン,水,メッソン,S,,
1584,349,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,225/190,ポケモン,水,ジメレオン,S,,
1585,350,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,226/190,ポケモン,水,インテレオン,S,,
1586,351,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,227/190,ポケモン,水,カムカメ,S,,
1587,352,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,228/190,ポケモン,水,カジリガメ,S,,
1588,353,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,229/190,ポケモン,水,ウッウ,S,,
1589,354,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,230/190,ポケモン,水,サシカマス,S,,
1590,355,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,231/190,ポケモン,水,カマスジョー,S,,
1591,356,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,232/190,ポケモン,水,ユキハミ,S,,
1592,357,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,233/190,ポケモン,水,モスノウ,S,,
1593,358,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,234/190,ポケモン,水,コオリッポ,S,,
1594,359,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,235/190,ポケモン,水,ウオノラゴン,S,,
1595,360,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,236/190,ポケモン,水,ウオチルドン,S,,
1596,361,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,237/190,ポケモン,雷,ロトム,S,,
1597,362,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,238/190,ポケモン,雷,ワンパチ,S,,
1598,363,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,239/190,ポケモン,雷,パルスワン,S,,
1599,364,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,240/190,ポケモン,雷,エレズン,S,,
1600,365,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,241/190,ポケモン,雷,ストリンダー,S,,
1601,366,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,242/190,ポケモン,雷,バチンウニ,S,,
1602,367,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,243/190,ポケモン,雷,モルペコ,S,,
1603,368,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,244/190,ポケモン,雷,パッチラゴン,S,,
1604,369,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,245/190,ポケモン,雷,パッチルドン,S,,
1605,370,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,246/190,ポケモン,超,ガラルポニータ,S,,
1606,371,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,247/190,ポケモン,超,ガラルギャロップ,S,,
1607,372,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,248/190,ポケモン,超,ガラルサニーゴ,S,,
1608,373,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,249/190,ポケモン,超,ガラルサニゴーン,S,,
1609,374,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,250/190,ポケモン,超,デデンネ,S,,
1610,375,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,251/190,ポケモン,超,ヤバチャ,S,,
1611,376,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,252/190,ポケモン,超,ポットデス,S,,
1612,377,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,253/190,ポケモン,超,ミブリム,S,,
1613,378,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,254/190,ポケモン,超,テブリム,S,,
1614,379,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,255/190,ポケモン,超,ブリムオン,S,,
1615,380,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,256/190,ポケモン,超,マホミル,S,,
1616,381,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,257/190,ポケモン,超,マホイップ,S,,
1617,382,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,258/190,ポケモン,超,イエッサン,S,,
1618,383,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,259/190,ポケモン,超,ドラメシヤ,S,,
1619,384,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,260/190,ポケモン,超,ドロンチ,S,,
1620,385,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,261/190,ポケモン,超,ドラパルト,S,,
1621,386,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,262/190,ポケモン,闘,ガラルカモネギ,S,,
1622,387,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,263/190,ポケモン,闘,ガラルネギガナイト,S,,
1623,388,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,264/190,ポケモン,闘,ガラルデスマス,S,,
1624,389,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,265/190,ポケモン,闘,ガラルデスバーン,S,,
1625,390,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,266/190,ポケモン,闘,タンドン,S,,
1626,391,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,267/190,ポケモン,闘,トロッゴン,S,,
1627,392,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,268/190,ポケモン,闘,セキタンザン,S,,
1628,393,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,269/190,ポケモン,闘,スナヘビ,S,,
1629,394,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,270/190,ポケモン,闘,サダイジャ,S,,
1630,395,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,271/190,ポケモン,闘,タタッコ,S,,
1631,396,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,272/190,ポケモン,闘,オトスパス,S,,
1632,397,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,273/190,ポケモン,闘,タイレーツ,S,,
1633,398,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,274/190,ポケモン,闘,イシヘンジン,S,,
1634,399,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,275/190,ポケモン,悪,ドガース,S,,
1635,400,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,276/190,ポケモン,悪,ガラルマタドガス,S,,
1636,401,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,277/190,ポケモン,悪,ガラルジグザグマ,S,,
1637,402,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,278/190,ポケモン,悪,ガラルマッスグマ,S,,
1638,403,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,279/190,ポケモン,悪,ガラルタチフサグマ,S,,
1639,404,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,280/190,ポケモン,悪,クスネ,S,,
1640,405,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,281/190,ポケモン,悪,フォクスライ,S,,
1641,406,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,282/190,ポケモン,悪,ベロバー,S,,
1642,407,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,283/190,ポケモン,悪,ギモー,S,,
1643,408,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,284/190,ポケモン,悪,オーロンゲ,S,,
1644,409,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,285/190,ポケモン,鋼,ガラルニャース,S,,
1645,410,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,286/190,ポケモン,鋼,ガラルニャイキング,S,,
1646,411,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,287/190,ポケモン,鋼,ガラルマッギョ,S,,
1647,412,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,288/190,ポケモン,鋼,アーマーガア,S,,
1648,413,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,289/190,ポケモン,鋼,ゾウドウ,S,,
1649,414,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,290/190,ポケモン,鋼,ダイオウドウ,S,,
1650,415,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,291/190,ポケモン,鋼,ジュラルドン,S,,
1651,416,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,292/190,ポケモン,無,チラーミィ,S,,
1652,417,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,293/190,ポケモン,無,チラチーノ,S,,
1653,418,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,294/190,ポケモン,無,コアルヒー,S,,
1654,419,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,295/190,ポケモン,無,スワンナ,S,,
1655,420,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,296/190,ポケモン,無,ホルビー,S,,
1656,421,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,297/190,ポケモン,無,ヤレユータン,S,,
1657,422,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,298/190,ポケモン,無,ホシガリス,S,,
1658,423,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,299/190,ポケモン,無,ヨクバリス,S,,
1659,424,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,300/190,ポケモン,無,ココガラ,S,,
1660,425,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,301/190,ポケモン,無,アオガラス,S,,
1661,426,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,302/190,ポケモン,無,ウールー,S,,
1662,427,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,303/190,ポケモン,無,バイウールー,S,,
1663,428,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,304/190,ポケモン,草,ゴリランダーV,SSR,,
1664,429,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,305/190,ポケモン,草,ゴリランダーVMAX,SSR,,
1665,430,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,306/190,ポケモン,草,ワタシラガV,SSR,,
1666,431,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,307/190,ポケモン,炎,リザードンV,SSR,,
1667,432,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,308/190,ポケモン,炎,リザードンVMAX,SSR,,
1668,433,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,309/190,ポケモン,炎,マルヤクデV,SSR,,
1669,434,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,310/190,ポケモン,炎,マルヤクデVMAX,SSR,,
1670,435,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,311/190,ポケモン,水,ラプラスV,SSR,,
1671,436,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,312/190,ポケモン,水,ラプラスVMAX,SSR,,
1672,437,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,313/190,ポケモン,雷,パルスワンV,SSR,,
1673,438,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,314/190,ポケモン,雷,ストリンダーV,SSR,,
1674,439,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,315/190,ポケモン,雷,ストリンダーVMAX,SSR,,
1675,440,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,316/190,ポケモン,超,イエッサンV,SSR,,
1676,441,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,317/190,ポケモン,超,ドラパルトV,SSR,,
1677,442,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,318/190,ポケモン,超,ドラパルトVMAX,SSR,,
1678,443,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,319/190,ポケモン,闘,タイレーツV,SSR,,
1679,444,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,320/190,ポケモン,悪,クロバットVMAX,SSR,,
1680,445,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,321/190,ポケモン,悪,オーロンゲV,SSR,,
1681,446,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,322/190,ポケモン,悪,オーロンゲVMAX,SSR,,
1682,447,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,323/190,ポケモン,無,メタモンV,SSR,,
1683,448,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,324/190,ポケモン,無,メタモンVMAX,SSR,,
1684,449,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,325/190,ポケモン,無,バイウールーV,SSR,,
1685,450,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,326/190,ポケモン,無,ウッウV,SSR,,
1686,451,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,327/190,ポケモン,悪,ムゲンダイナV,UR,,
1687,452,2020年11月20日,ソード&シールド ハイクラスパック シャイニースターV,S4a,328/190,ポケモン,悪,ムゲンダイナVMAX,UR,,
